year_ceremony;canon_category;name;film;winner
1939;ACTRESS IN A SUPPORTING ROLE;Spring Byington;You Can't Take It with You;False
1939;ACTRESS IN A SUPPORTING ROLE;Miliza Korjus;The Great Waltz;False
1940;ACTOR IN A LEADING ROLE;Robert Donat;Goodbye, Mr. Chips;True
1940;ACTOR IN A LEADING ROLE;Clark Gable;Gone with the Wind;False
1940;ACTOR IN A LEADING ROLE;Laurence Olivier;Wuthering Heights;False
1940;ACTOR IN A LEADING ROLE;Mickey Rooney;Babes in Arms;False
1940;ACTOR IN A LEADING ROLE;James Stewart;Mr. Smith Goes to Washington;False
1940;ACTOR IN A SUPPORTING ROLE;Brian Aherne;Juarez;False
1940;ACTOR IN A SUPPORTING ROLE;Harry Carey;Mr. Smith Goes to Washington;False
1940;ACTOR IN A SUPPORTING ROLE;Brian Donlevy;Beau Geste;False
1940;ACTOR IN A SUPPORTING ROLE;Thomas Mitchell;Stagecoach;True
1940;ACTOR IN A SUPPORTING ROLE;Claude Rains;Mr. Smith Goes to Washington;False
1940;ACTRESS IN A LEADING ROLE;Bette Davis;Dark Victory;False
1940;ACTRESS IN A LEADING ROLE;Irene Dunne;Love Affair;False
1940;ACTRESS IN A LEADING ROLE;Greta Garbo;Ninotchka;False
1940;ACTRESS IN A LEADING ROLE;Greer Garson;Goodbye, Mr. Chips;False
1940;ACTRESS IN A LEADING ROLE;Vivien Leigh;Gone with the Wind;True
1940;ACTRESS IN A SUPPORTING ROLE;Olivia de Havilland;Gone with the Wind;False
1940;ACTRESS IN A SUPPORTING ROLE;Geraldine Fitzgerald;Wuthering Heights;False
1940;ACTRESS IN A SUPPORTING ROLE;Hattie McDaniel;Gone with the Wind;True
1940;ACTRESS IN A SUPPORTING ROLE;Edna May Oliver;Drums along the Mohawk;False
1940;ACTRESS IN A SUPPORTING ROLE;Maria Ouspenskaya;Love Affair;False
1941;ACTOR IN A LEADING ROLE;Charles Chaplin;The Great Dictator;False
1941;ACTOR IN A LEADING ROLE;Henry Fonda;The Grapes of Wrath;False
1941;ACTOR IN A LEADING ROLE;Raymond Massey;Abe Lincoln in Illinois;False
1941;ACTOR IN A LEADING ROLE;Laurence Olivier;Rebecca;False
1941;ACTOR IN A LEADING ROLE;James Stewart;The Philadelphia Story;True
1941;ACTOR IN A SUPPORTING ROLE;Albert Basserman;Foreign Correspondent;False
1941;ACTOR IN A SUPPORTING ROLE;Walter Brennan;The Westerner;True
1941;ACTOR IN A SUPPORTING ROLE;William Gargan;They Knew What They Wanted;False
1941;ACTOR IN A SUPPORTING ROLE;Jack Oakie;The Great Dictator;False
1941;ACTOR IN A SUPPORTING ROLE;James Stephenson;The Letter;False
1941;ACTRESS IN A LEADING ROLE;Bette Davis;The Letter;False
1941;ACTRESS IN A LEADING ROLE;Joan Fontaine;Rebecca;False
1941;ACTRESS IN A LEADING ROLE;Katharine Hepburn;The Philadelphia Story;False
1941;ACTRESS IN A LEADING ROLE;Ginger Rogers;Kitty Foyle;True
1941;ACTRESS IN A LEADING ROLE;Martha Scott;Our Town;False
1941;ACTRESS IN A SUPPORTING ROLE;Judith Anderson;Rebecca;False
1941;ACTRESS IN A SUPPORTING ROLE;Jane Darwell;The Grapes of Wrath;True
1941;ACTRESS IN A SUPPORTING ROLE;Ruth Hussey;The Philadelphia Story;False
1941;ACTRESS IN A SUPPORTING ROLE;Barbara O'Neil;All This, and Heaven Too;False
1941;ACTRESS IN A SUPPORTING ROLE;Marjorie Rambeau;Primrose Path;False
1942;ACTOR IN A LEADING ROLE;Gary Cooper;Sergeant York;True
1942;ACTOR IN A LEADING ROLE;Cary Grant;Penny Serenade;False
1942;ACTOR IN A LEADING ROLE;Walter Huston;All That Money Can Buy;False
1942;ACTOR IN A LEADING ROLE;Robert Montgomery;Here Comes Mr. Jordan;False
1942;ACTOR IN A LEADING ROLE;Orson Welles;Citizen Kane;False
1942;ACTOR IN A SUPPORTING ROLE;Walter Brennan;Sergeant York;False
1942;ACTOR IN A SUPPORTING ROLE;Charles Coburn;The Devil and Miss Jones;False
1942;ACTOR IN A SUPPORTING ROLE;Donald Crisp;How Green Was My Valley;True
1942;ACTOR IN A SUPPORTING ROLE;James Gleason;Here Comes Mr. Jordan;False
1942;ACTOR IN A SUPPORTING ROLE;Sydney Greenstreet;The Maltese Falcon;False
1942;ACTRESS IN A LEADING ROLE;Bette Davis;The Little Foxes;False
1942;ACTRESS IN A LEADING ROLE;Olivia de Havilland;Hold Back the Dawn;False
1942;ACTRESS IN A LEADING ROLE;Joan Fontaine;Suspicion;True
1942;ACTRESS IN A LEADING ROLE;Greer Garson;Blossoms in the Dust;False
1942;ACTRESS IN A LEADING ROLE;Barbara Stanwyck;Ball of Fire;False
1942;ACTRESS IN A SUPPORTING ROLE;Sara Allgood;How Green Was My Valley;False
1942;ACTRESS IN A SUPPORTING ROLE;Mary Astor;The Great Lie;True
1942;ACTRESS IN A SUPPORTING ROLE;Patricia Collinge;The Little Foxes;False
1942;ACTRESS IN A SUPPORTING ROLE;Teresa Wright;The Little Foxes;False
1942;ACTRESS IN A SUPPORTING ROLE;Margaret Wycherly;Sergeant York;False
1943;ACTOR IN A LEADING ROLE;James Cagney;Yankee Doodle Dandy;True
1943;ACTOR IN A LEADING ROLE;Ronald Colman;Random Harvest;False
1943;ACTOR IN A LEADING ROLE;Gary Cooper;The Pride of the Yankees;False
1943;ACTOR IN A LEADING ROLE;Walter Pidgeon;Mrs. Miniver;False
1943;ACTOR IN A LEADING ROLE;Monty Woolley;The Pied Piper;False
1943;ACTOR IN A SUPPORTING ROLE;William Bendix;Wake Island;False
1943;ACTOR IN A SUPPORTING ROLE;Van Heflin;Johnny Eager;True
1943;ACTOR IN A SUPPORTING ROLE;Walter Huston;Yankee Doodle Dandy;False
1943;ACTOR IN A SUPPORTING ROLE;Frank Morgan;Tortilla Flat;False
1943;ACTOR IN A SUPPORTING ROLE;Henry Travers;Mrs. Miniver;False
1943;ACTRESS IN A LEADING ROLE;Bette Davis;Now, Voyager;False
1943;ACTRESS IN A LEADING ROLE;Greer Garson;Mrs. Miniver;True
1943;ACTRESS IN A LEADING ROLE;Katharine Hepburn;Woman of the Year;False
1943;ACTRESS IN A LEADING ROLE;Rosalind Russell;My Sister Eileen;False
1943;ACTRESS IN A LEADING ROLE;Teresa Wright;The Pride of the Yankees;False
1943;ACTRESS IN A SUPPORTING ROLE;Gladys Cooper;Now, Voyager;False
1943;ACTRESS IN A SUPPORTING ROLE;Agnes Moorehead;The Magnificent Ambersons;False
1943;ACTRESS IN A SUPPORTING ROLE;Susan Peters;Random Harvest;False
